client_id,Vehicles_Passed,Time_Of_Day,Day_Of_Week,Traffic_Level
City_1,743,14,Thu,High
City_1,974,5,Thu,Low
City_1,1734,22,Thu,Medium
City_1,1119,8,Tue,Medium
City_1,1752,11,Fri,Low
City_1,434,13,Sat,Medium
City_1,1139,7,Sat,Medium
City_1,1460,2,Mon,Low
City_1,915,16,Mon,Medium
City_1,1137,6,Mon,Low
City_1,1268,9,Sat,Medium
City_1,457,4,Sat,Medium
City_1,827,16,Wed,Medium
City_1,1690,6,Fri,Medium
City_1,250,6,Thu,Low
City_1,1998,1,Wed,High
City_1,1023,14,Mon,Low
City_1,239,6,Sun,Medium
City_1,1024,10,Mon,Medium
City_1,1576,1,Sun,Medium
City_1,381,6,Thu,Medium
City_1,146,11,Tue,Medium
City_1,116,19,Thu,Medium
City_1,1106,1,Mon,Medium
City_1,1688,12,Fri,Medium
City_1,1518,14,Fri,Medium
City_1,956,16,Sat,Medium
City_1,1862,20,Sun,Medium
City_1,1543,23,Wed,Low
City_1,195,10,Sat,Medium
City_1,1482,4,Wed,High
City_1,211,10,Tue,High
City_1,1733,15,Mon,Medium
City_1,1359,7,Wed,High
City_1,1694,19,Wed,Medium
City_1,1606,16,Mon,Low
City_1,1114,1,Thu,Medium
City_1,1765,20,Tue,Medium
City_1,554,21,Thu,Medium
City_1,378,11,Tue,Low
City_1,1882,15,Sun,High
City_1,1356,20,Sun,High
City_1,1706,3,Fri,Medium
City_1,1586,14,Mon,High
City_1,1414,6,Sat,High
City_1,1822,4,Sat,Medium
City_1,1266,6,Wed,Medium
City_1,1178,1,Thu,Medium
City_1,1145,11,Sun,Medium
City_1,1638,5,Tue,High
City_1,670,8,Fri,Medium
City_1,1393,18,Wed,Medium
City_1,109,19,Thu,High
City_1,1244,15,Sat,High
City_1,1397,5,Sun,Low
City_1,1106,16,Fri,Low
City_1,1926,19,Tue,Low
City_1,1364,11,Tue,Medium
City_1,535,17,Sun,Medium
City_1,1422,17,Sat,High
City_1,161,22,Sun,Low
City_1,130,9,Fri,High
City_1,365,19,Wed,High
City_1,614,0,Sun,Low
City_1,659,9,Sun,Medium
City_1,1383,3,Sun,Medium
City_1,569,21,Mon,Medium
City_1,1987,19,Sat,Medium
City_1,875,17,Fri,High
City_1,1128,4,Sun,Medium
City_1,733,6,Thu,Medium
City_1,1663,10,Fri,Medium
City_1,1977,21,Tue,Medium
City_1,1513,10,Fri,Medium
City_1,1117,4,Sun,Low
City_1,1554,20,Sat,Low
City_1,720,0,Mon,High
City_1,780,23,Thu,Medium
City_1,1899,13,Thu,Low
City_1,1475,1,Fri,Medium
City_1,1212,9,Sun,Low
City_1,219,11,Mon,Medium
City_1,1551,15,Tue,High
City_1,322,11,Wed,High
City_1,1635,13,Sat,High
City_1,1157,19,Sun,Medium
City_1,924,2,Fri,Medium
City_1,1967,4,Thu,Medium
City_1,1591,4,Thu,Medium
City_1,129,8,Tue,Low
City_1,403,19,Fri,Medium
City_1,1959,13,Mon,Medium
City_1,176,2,Fri,Medium
City_1,191,18,Mon,Medium
City_1,1722,7,Tue,Medium
City_1,1046,9,Fri,Low
City_1,1780,23,Fri,Medium
City_1,1102,15,Thu,Medium
City_1,961,2,Wed,Low
City_1,1733,13,Tue,Medium
City_1,1942,23,Wed,Medium
City_1,1806,8,Wed,Medium
City_1,1741,2,Wed,Low
City_1,864,5,Thu,High
City_1,1403,5,Tue,Medium
City_1,234,10,Wed,Medium
City_1,418,15,Sun,Medium
City_1,1153,6,Mon,Low
City_1,1864,0,Thu,Medium
City_1,1996,20,Fri,High
City_1,713,2,Sat,Medium
City_1,937,15,Thu,Medium
City_1,344,2,Mon,Low
City_1,1121,5,Sat,Medium
City_1,1410,19,Sun,Medium
City_1,651,6,Wed,Medium
City_1,894,14,Thu,Medium
City_1,298,16,Tue,Medium
City_1,749,18,Tue,High
City_1,764,23,Tue,Low
City_1,1993,2,Wed,Medium
City_1,426,9,Mon,High
City_1,554,5,Sat,Low
City_1,1456,1,Wed,Medium
City_1,1782,17,Mon,High
City_1,869,18,Tue,Medium
City_1,890,21,Sun,Low
City_1,262,10,Mon,High
City_1,788,18,Wed,Medium
City_1,1272,16,Wed,Low
City_1,1192,15,Sat,Low
City_1,1047,1,Mon,Medium
City_1,1503,17,Mon,Medium
City_1,697,6,Mon,Medium
City_1,376,0,Thu,Medium
City_1,1380,12,Sat,Low
City_1,815,6,Sun,Medium
City_1,1382,17,Tue,High
City_1,1441,2,Thu,Low
City_1,1167,16,Sat,High
City_1,421,7,Sat,Medium
City_1,717,6,Sat,Medium
City_1,1714,1,Fri,Medium
City_1,1163,12,Wed,Medium
City_1,1110,15,Wed,Low
City_1,1849,22,Thu,Medium
City_1,725,9,Mon,Low
City_1,1153,13,Sat,Medium
City_1,1734,1,Sat,Low
City_1,1672,2,Mon,High
City_1,866,21,Sat,Medium
City_1,1930,21,Tue,Medium
City_1,1816,2,Mon,High
City_1,1731,10,Tue,Medium
City_1,1970,3,Thu,Medium
City_1,1966,17,Sun,High
City_1,1126,6,Sun,Medium
City_1,215,23,Wed,High
City_1,1028,9,Tue,Low
City_1,1425,15,Wed,Low
City_1,874,12,Mon,Low
City_1,460,5,Mon,Medium
City_1,1562,19,Sat,Medium
City_1,1489,19,Wed,Medium
City_1,971,7,Tue,Medium
City_1,405,17,Tue,High
City_1,1064,19,Sun,Low
City_1,451,9,Mon,Low
City_1,724,17,Fri,Medium
City_1,1138,11,Thu,High
City_1,1217,10,Wed,Medium
City_1,558,5,Mon,Medium
City_1,456,6,Sat,Medium
City_1,618,1,Thu,Medium
City_1,442,17,Thu,Low
City_1,921,2,Fri,Medium
City_1,1694,10,Fri,Low
City_1,107,13,Sun,Medium
City_1,155,0,Wed,Low
City_1,237,11,Thu,Medium
City_1,968,15,Thu,Low
City_1,641,4,Mon,Low
City_1,1980,13,Mon,Medium
City_1,1801,4,Sun,Low
City_1,879,4,Sat,Medium
City_1,663,8,Wed,Medium
City_1,1874,9,Sat,Low
City_1,904,19,Wed,Low
City_1,1513,4,Wed,Medium
City_1,105,9,Fri,Medium
City_1,1933,16,Wed,Low
City_1,320,1,Fri,High
City_1,389,4,Tue,Low
City_1,1597,0,Wed,Low
City_1,714,13,Sat,Medium
City_1,1892,20,Sat,Medium
City_1,1017,17,Thu,Medium
City_1,1721,23,Sat,Medium
City_1,293,6,Fri,Medium
City_1,375,11,Tue,Low
City_1,788,18,Thu,Medium
City_1,1073,1,Fri,Medium
City_1,342,20,Sat,Low
City_1,756,18,Thu,High
City_1,1084,22,Tue,Low
City_1,515,18,Tue,Medium
City_1,1824,2,Mon,Low
City_1,1661,15,Thu,Medium
City_1,1677,2,Wed,Medium
City_1,1743,5,Wed,Medium
City_1,538,23,Fri,Medium
City_1,1983,3,Tue,Low
City_1,1141,11,Wed,Medium
City_1,657,22,Sat,Low
City_1,620,11,Fri,Low
City_1,1194,6,Tue,Low
City_1,1213,13,Wed,Low
City_1,1015,5,Wed,Medium
City_1,1270,23,Mon,Medium
City_1,1909,11,Mon,Medium
City_1,1043,17,Thu,Medium
City_1,1546,0,Fri,Low
City_1,183,0,Sun,Low
City_1,474,7,Tue,High
City_1,252,20,Fri,Low
City_1,1581,18,Mon,Medium
City_1,1196,19,Thu,Medium
City_1,874,10,Fri,Low
City_1,1910,13,Sun,Low
City_1,923,9,Sat,High
City_1,1838,2,Thu,Medium
City_1,1560,13,Thu,Medium
City_1,1938,2,Mon,High
City_1,313,1,Tue,High
City_1,1382,1,Thu,Medium
City_1,1668,8,Mon,High
City_1,919,17,Sun,Low
City_1,1799,2,Sun,Medium
City_1,354,0,Tue,Medium
City_1,1254,12,Mon,Low
City_1,925,13,Mon,Medium
City_1,1969,23,Sun,Medium
City_1,1643,15,Mon,Low
City_1,1339,23,Fri,Low
City_1,1128,19,Sat,Medium
City_1,1109,4,Wed,Medium
City_1,1428,17,Sat,Medium
City_1,573,17,Sat,Medium
City_1,1194,14,Thu,Medium
City_1,1972,10,Tue,High
City_1,1986,17,Mon,Medium
City_1,1054,16,Mon,High
City_1,1619,19,Mon,Medium
City_1,562,0,Wed,High
City_1,1164,4,Thu,Medium
City_1,707,21,Wed,Low
City_1,893,19,Mon,Low
City_1,532,0,Wed,Medium
City_1,682,15,Tue,Medium
City_1,1189,12,Tue,Low
City_1,1390,20,Tue,High
City_1,278,19,Mon,Medium
City_1,1128,13,Wed,Medium
City_1,915,23,Sun,Low
City_1,1638,22,Mon,Medium
City_1,694,23,Thu,Low
City_1,1636,19,Wed,Medium
City_1,751,17,Sat,Low
City_1,251,0,Sat,Medium
City_1,1885,2,Tue,Low
City_1,312,14,Sat,Medium
City_1,1497,19,Sun,Medium
City_1,510,21,Fri,Low
City_1,1167,12,Tue,Low
City_1,842,0,Thu,Low
City_1,1703,15,Fri,High
City_1,201,22,Wed,Medium
City_1,1716,17,Tue,Low
City_1,1455,0,Sun,High
City_1,1134,12,Wed,Low
City_1,971,2,Mon,Medium
City_1,1069,16,Sun,Medium
City_1,1017,5,Sat,Low
City_1,1911,15,Tue,Low
City_1,1357,5,Tue,High
City_1,1897,6,Wed,Medium
City_1,207,11,Sat,Medium
City_1,157,4,Sun,Medium
City_1,704,8,Fri,Medium
City_1,1779,17,Wed,Low
City_1,1261,11,Sat,High
City_1,1929,4,Wed,Low
City_1,561,12,Fri,High
City_1,143,0,Wed,High
City_1,638,15,Sat,High
City_1,1464,6,Mon,Medium
City_1,1141,0,Mon,Medium
City_1,1404,13,Sat,High
City_1,975,17,Tue,Medium
City_1,459,21,Sun,High
City_1,949,14,Mon,Low
City_1,1335,16,Mon,Low
City_1,1084,19,Mon,Medium
City_1,1876,20,Mon,High
City_1,595,20,Sat,High
City_1,1605,5,Wed,Low
City_1,797,0,Wed,Low
City_1,597,14,Tue,High
City_1,407,19,Sun,Medium
City_1,1035,12,Tue,Low
City_1,1837,13,Sun,High
City_1,1625,6,Sat,Medium
City_1,1816,23,Sun,Low
City_1,1309,3,Tue,Medium
City_1,856,7,Wed,Medium
City_1,1505,20,Mon,Low
City_1,1330,6,Sun,Low
City_1,294,13,Thu,Medium
City_1,166,4,Mon,High
City_1,1853,1,Thu,Low
City_1,1183,9,Tue,High
City_1,930,6,Fri,Low
City_1,388,10,Fri,Low
City_1,1176,14,Mon,Low
City_1,1484,13,Fri,Medium
City_1,793,23,Sat,Medium
City_1,233,0,Thu,Medium
City_1,590,16,Mon,Low
City_1,938,13,Thu,Medium
City_1,1119,15,Thu,Medium
City_1,1695,4,Fri,Medium
City_1,280,16,Wed,Medium
City_1,505,12,Mon,Low
City_1,583,1,Fri,High
City_1,367,3,Tue,Medium
City_1,1371,18,Sat,High
City_1,1738,13,Wed,Low
City_1,1160,8,Fri,Low
City_1,402,19,Fri,Medium
City_1,443,5,Mon,Medium
City_1,264,12,Mon,Low
City_1,228,16,Tue,High
City_1,694,20,Thu,Low
City_1,715,7,Sun,Low
City_1,704,15,Sat,High
City_1,169,20,Thu,Medium
City_1,921,18,Mon,Low
City_1,1232,20,Wed,Medium
City_1,915,9,Sun,Low
City_1,101,5,Sun,Low
City_1,461,16,Tue,Low
City_1,301,12,Mon,Medium
City_1,1625,11,Sat,Low
City_1,1723,13,Fri,Medium
City_1,592,16,Mon,Medium
City_1,1063,8,Mon,Medium
City_1,1487,15,Thu,Medium
City_1,724,0,Wed,Low
City_1,436,6,Tue,Medium
City_1,915,7,Sun,Low
City_1,651,12,Tue,High
City_1,521,15,Sun,Medium
City_1,1116,14,Fri,Medium
City_1,384,17,Sat,High
City_1,869,2,Fri,Low
City_1,110,11,Thu,Medium
City_1,1492,23,Mon,Low
City_1,1629,21,Sun,Medium
City_1,1287,23,Sat,Low
City_1,1980,13,Sat,Medium
City_1,1682,22,Tue,Low
City_1,848,11,Wed,Medium
City_1,261,20,Wed,Medium
City_1,175,6,Mon,Medium
City_1,1261,5,Thu,Medium
City_1,1286,9,Fri,Low
City_1,1864,2,Fri,Medium
City_1,337,23,Sat,Medium
City_1,718,15,Thu,Medium
City_1,831,10,Tue,Medium
City_1,1388,23,Wed,Low
City_1,1458,6,Tue,Low
City_1,709,21,Fri,High
City_1,1303,14,Tue,Medium
City_1,863,12,Sat,High
City_1,773,20,Wed,Medium
City_1,1020,21,Tue,Medium
City_1,1960,20,Sat,Low
City_1,1616,19,Sun,Low
City_1,1271,11,Mon,Medium
City_1,1518,19,Wed,Low
City_1,1330,8,Wed,Medium
City_1,1478,18,Mon,Medium
City_1,1626,17,Sun,Low
City_1,1124,9,Tue,Medium
City_1,261,18,Sat,High
City_1,228,15,Mon,Medium
City_1,1207,23,Sat,High
City_1,1539,16,Fri,Low
City_1,622,5,Thu,Medium
City_1,1994,13,Mon,High
City_1,1136,0,Tue,High
City_1,464,0,Thu,Low
City_1,1523,3,Mon,Medium
City_1,312,22,Thu,High
City_1,1574,22,Tue,Low
City_1,1898,3,Thu,Low
City_1,1287,3,Sat,Low
City_1,844,20,Tue,Low
City_1,726,14,Sat,Medium
City_1,582,4,Sun,Low
City_1,1388,0,Wed,Medium
City_1,1173,23,Tue,Low
City_1,1674,19,Sun,Low
City_1,764,10,Fri,Medium
City_1,1486,14,Mon,High
City_1,1646,10,Tue,Medium
City_1,1064,22,Sun,Medium
City_1,331,12,Sun,Medium
City_1,1135,23,Fri,Low
City_1,1756,22,Mon,Low
City_1,176,4,Sat,Low
City_1,1186,13,Sat,Medium
City_1,609,2,Fri,Medium
City_1,1047,16,Fri,Medium
City_1,820,19,Sat,High
City_1,380,23,Tue,Low
City_1,1309,4,Wed,Medium
City_1,1471,6,Fri,Medium
City_1,553,10,Wed,Medium
City_1,1799,7,Mon,Medium
City_1,974,19,Sat,Medium
City_1,202,3,Fri,Medium
City_1,1595,0,Tue,Medium
City_1,1142,4,Sat,High
City_1,974,21,Thu,Low
City_1,1295,19,Sat,High
City_1,248,9,Sat,High
City_1,1178,7,Sun,Medium
City_1,480,5,Wed,Medium
City_1,1536,22,Tue,Low
City_1,1831,16,Tue,High
City_1,1163,23,Thu,Medium
City_1,1713,20,Sun,Medium
City_1,1508,0,Fri,Medium
City_1,1367,19,Wed,High
City_1,1142,7,Tue,Low
City_1,1934,4,Tue,Low
City_1,1972,16,Tue,Low
City_1,1730,8,Sat,Low
City_1,1474,2,Wed,Medium
City_1,1054,12,Fri,Low
City_1,1843,20,Thu,Medium
City_1,578,8,Mon,Low
City_1,456,23,Mon,Medium
City_1,1664,7,Wed,Medium
City_1,1159,14,Fri,Medium
City_1,1911,4,Tue,Medium
City_1,1892,18,Sun,Low
City_1,1920,1,Wed,High
City_1,1953,17,Tue,Low
City_1,361,6,Sat,High
City_1,642,8,Sat,Medium
City_1,268,11,Tue,High
City_1,122,3,Mon,Low
City_1,352,19,Fri,Medium
City_1,331,0,Sun,Medium
City_1,1233,0,Sun,Medium
City_1,1066,8,Tue,Low
City_1,1355,7,Sat,High
City_1,1829,13,Sat,Medium
City_1,1208,12,Mon,Medium
City_1,396,23,Thu,Medium
City_1,1782,15,Fri,High
City_1,801,23,Sat,Medium
City_1,987,16,Mon,Low
City_1,1136,11,Sat,Medium
City_1,656,13,Sun,Medium
City_1,1717,3,Mon,High
City_1,1200,3,Fri,Low
City_1,235,19,Mon,High
City_1,647,5,Sat,High
City_1,169,9,Thu,Medium
City_1,1610,13,Wed,Medium
City_1,373,11,Sat,Low
City_1,612,14,Sun,Medium
City_1,1912,0,Fri,Medium
City_1,1023,6,Fri,Medium
City_1,770,0,Mon,Low
City_1,1227,10,Sat,Medium
City_1,474,12,Wed,Medium
City_1,246,3,Thu,Medium
City_1,1629,5,Fri,Medium
City_1,1036,2,Fri,Medium
City_1,687,2,Thu,Medium
City_1,1711,17,Thu,Low
City_1,257,7,Mon,Low
City_1,834,5,Sat,Low
City_1,1976,5,Wed,Medium
City_1,1151,11,Fri,Medium
City_1,1790,12,Tue,Medium
City_1,668,22,Thu,Low
City_1,1699,15,Sat,High
City_1,767,22,Mon,Low
City_1,355,3,Mon,High
City_1,1285,8,Sun,Low
City_1,1561,1,Mon,High
City_1,245,18,Sun,Low
City_1,798,8,Thu,Low
City_1,1460,10,Wed,Low
City_1,1826,17,Sat,Low
City_1,1007,8,Wed,Medium
City_1,298,0,Mon,Low
City_1,1192,5,Fri,Medium
City_1,1955,7,Thu,High
City_1,653,7,Tue,Low
City_1,1120,5,Fri,Medium
City_1,1446,10,Wed,Medium
City_1,428,2,Wed,Low
City_1,1093,6,Tue,High
City_1,1380,5,Fri,Low
City_1,1189,5,Mon,Medium
City_1,1712,2,Sun,Medium
City_1,590,3,Sat,High
City_1,1848,23,Sun,Medium
City_1,1115,9,Sun,Medium
City_1,1322,23,Wed,Medium
City_1,1541,21,Thu,Low
City_1,617,9,Fri,Low
City_1,165,9,Tue,Medium
City_1,313,3,Sun,Low
City_1,1173,16,Wed,Medium
City_1,1515,11,Mon,Low
City_1,572,20,Thu,Medium
City_1,640,5,Wed,Medium
City_1,1039,12,Fri,Low
City_1,571,14,Sat,Low
City_1,1861,3,Thu,Medium
City_1,1752,11,Wed,Medium
City_1,603,16,Wed,High
City_1,1902,22,Sun,Low
City_1,1573,21,Fri,Medium
City_1,1723,15,Sun,Medium
City_1,364,23,Mon,Low
City_1,400,10,Thu,Medium
City_1,260,7,Tue,Low
City_1,1098,12,Tue,Low
City_1,105,2,Fri,Medium
City_1,860,12,Mon,Low
City_1,1288,19,Mon,Low
City_1,1955,12,Fri,High
City_1,1916,13,Mon,Low
City_1,724,3,Tue,Medium
City_1,983,11,Mon,Medium
City_1,1103,14,Tue,Medium
City_1,1262,4,Sun,Low
City_1,1628,5,Sat,Medium
City_1,1757,20,Tue,Medium
City_1,1991,12,Wed,Medium
City_1,1182,21,Tue,High
City_1,1272,15,Thu,Low
City_1,228,19,Thu,High
City_1,849,7,Sat,Medium
City_1,578,15,Mon,Medium
City_1,1046,23,Thu,Medium
City_1,1520,15,Wed,Medium
City_1,211,19,Tue,High
City_1,927,3,Thu,High
City_1,1668,4,Sat,Low
City_1,259,5,Mon,Medium
City_1,1113,12,Thu,Low
City_1,1474,18,Fri,Medium
City_1,535,16,Mon,Medium
City_1,159,1,Wed,Low
City_1,980,20,Tue,Low
City_1,435,0,Thu,High
City_1,1059,21,Sun,Low
City_1,1221,11,Mon,Medium
City_1,242,2,Sun,Medium
City_1,1592,12,Tue,Low
City_1,1487,3,Fri,Medium
City_1,1803,5,Fri,Low
City_1,634,7,Wed,High
City_1,149,9,Tue,Low
City_1,1103,19,Thu,High
City_1,438,20,Wed,High
City_1,1900,3,Mon,Medium
City_1,172,8,Tue,High
City_1,1776,5,Mon,Medium
City_1,1029,6,Sun,High
City_1,302,19,Mon,Medium
City_1,1642,10,Fri,High
City_1,888,2,Sat,Medium
City_1,136,12,Fri,Medium
City_1,1169,11,Fri,High
City_1,885,12,Thu,Medium
City_1,1689,9,Sun,Low
City_1,1035,13,Thu,Low
City_1,1067,15,Sun,Low
City_1,512,3,Fri,Medium
City_1,1516,22,Mon,Medium
City_1,1847,13,Sat,Low
City_1,1648,3,Fri,Medium
City_1,914,17,Wed,High
City_1,311,10,Tue,Medium
City_1,1067,12,Mon,Medium
City_1,836,14,Sat,Medium
City_1,1463,0,Mon,High
City_1,118,14,Fri,Low
City_1,859,2,Sat,Low
City_1,397,21,Mon,Medium
City_1,902,20,Thu,Low
City_1,1561,11,Wed,High
City_1,1579,23,Sat,Medium
City_1,922,0,Tue,Medium
City_1,1940,1,Thu,Medium
City_1,1322,5,Sat,Low
City_1,584,14,Tue,High
City_1,1133,2,Sat,Medium
City_1,166,0,Mon,Medium
City_1,1441,1,Mon,Medium
City_1,187,11,Fri,Medium
City_1,470,22,Thu,Medium
City_1,140,15,Wed,High
City_1,999,12,Tue,Medium
City_1,308,23,Fri,Medium
City_1,1761,12,Sun,Low
City_1,1816,8,Wed,Medium
City_1,194,12,Mon,Medium
City_1,782,1,Mon,Low
City_1,647,21,Wed,Low
City_1,151,7,Wed,Medium
City_1,750,15,Fri,Low
City_1,1871,14,Fri,Medium
City_1,1446,11,Mon,Low
City_1,1557,2,Thu,Low
City_1,568,22,Tue,Low
City_1,1895,16,Sun,Medium
City_1,1019,16,Sun,Low
City_1,850,16,Thu,Medium
City_1,1198,1,Sun,Medium
City_1,1493,20,Fri,Medium
City_1,446,22,Tue,Medium
City_1,1362,3,Fri,Low
City_1,554,11,Wed,High
City_1,387,7,Sun,High
City_1,1522,9,Sun,High
City_1,905,14,Sat,Medium
City_1,1533,18,Fri,Medium
City_1,135,13,Sun,High
City_1,1419,9,Mon,Low
City_1,718,9,Tue,High
City_1,1813,7,Wed,Low
City_1,898,0,Sun,Medium
City_1,345,12,Fri,Medium
City_1,1926,14,Fri,Medium
City_1,1383,12,Fri,Medium
City_1,778,2,Sat,Medium
City_1,229,17,Mon,Low
City_1,915,16,Tue,High
City_1,1542,17,Wed,High
City_1,604,1,Thu,Medium
City_1,737,16,Wed,Medium
City_1,496,6,Sat,Medium
City_1,746,12,Fri,Low
City_1,1473,18,Wed,Low
City_1,401,2,Wed,High
City_1,455,6,Mon,Medium
City_1,1763,23,Wed,Medium
City_1,599,14,Fri,High
City_1,1450,0,Sun,High
City_1,1167,6,Wed,Medium
City_1,1444,13,Sat,Medium
City_1,1604,2,Sun,Medium
City_1,1020,8,Sun,Medium
City_1,196,18,Tue,Low
City_1,120,23,Fri,Low
City_1,502,4,Sun,Low
City_1,1069,20,Sun,Medium
City_1,971,7,Sun,Medium
City_1,1910,10,Tue,Low
City_1,1280,8,Wed,Medium
City_1,1441,6,Sat,High
City_1,151,16,Sat,Medium
City_1,1505,21,Sat,High
City_1,1772,1,Tue,Medium
City_1,503,16,Thu,Medium
City_1,604,18,Sun,Low
City_1,552,9,Sat,Medium
City_1,397,23,Thu,Medium
City_1,537,19,Thu,Medium
City_1,393,11,Tue,Medium
City_1,128,18,Mon,Medium
City_1,443,12,Fri,Medium
City_1,377,2,Mon,High
City_1,416,5,Fri,Low
City_1,1268,0,Sun,Medium
City_1,1939,3,Wed,Medium
City_1,1200,23,Wed,Medium
City_1,1570,19,Sun,High
City_1,1400,18,Mon,Low
City_1,1218,9,Sat,Medium
City_1,1251,7,Mon,Low
City_1,1989,15,Thu,Medium
City_1,830,23,Mon,Medium
City_1,1729,9,Thu,Medium
City_1,860,17,Tue,Low
City_1,1455,9,Wed,High
City_1,1521,14,Sat,Low
City_1,231,6,Wed,Low
City_1,1081,2,Fri,Low
City_1,1007,20,Fri,Low
City_1,1703,10,Sat,Low
City_1,990,21,Fri,Low
City_1,1085,11,Mon,Low
City_1,1571,19,Wed,Low
City_1,1242,13,Mon,Medium
City_1,1556,14,Tue,Medium
City_1,1191,13,Wed,Medium
City_1,1912,11,Sat,High
City_1,100,12,Sat,Low
City_1,1389,14,Wed,High
City_1,1168,22,Fri,Medium
City_1,820,17,Fri,Medium
City_1,1263,20,Thu,Medium
City_1,107,23,Wed,Medium
City_1,909,14,Thu,Medium
City_1,961,4,Wed,High
City_1,133,6,Thu,Medium
City_1,1944,11,Sat,Low
City_1,1081,8,Tue,Low
City_1,699,10,Mon,Low
City_1,331,5,Sun,Medium
City_1,580,5,Thu,Medium
City_1,1712,14,Mon,Low
City_1,1139,17,Tue,Medium
City_1,270,6,Sun,High
City_1,288,17,Sun,High
City_1,699,13,Tue,Low
City_1,1305,21,Tue,Medium
City_1,1725,14,Sat,Medium
City_1,1498,16,Mon,Medium
City_1,706,1,Wed,Medium
City_1,417,22,Sat,Medium
City_1,736,17,Sun,Medium
City_1,548,2,Mon,High
City_1,743,14,Tue,Low
City_1,778,21,Mon,High
City_1,849,5,Fri,Medium
City_1,1814,12,Sun,Medium
City_1,918,18,Sun,High
City_1,1882,8,Sat,Medium
City_1,112,6,Wed,Medium
City_1,1866,17,Sun,High
City_1,1792,4,Sun,High
City_1,307,15,Thu,Low
City_1,1364,6,Sun,Medium
City_1,1653,18,Thu,High
City_1,870,13,Sat,Low
City_1,409,16,Thu,Medium
City_1,131,18,Mon,Low
City_1,391,10,Sat,Low
City_1,677,9,Sat,Low
City_1,704,21,Tue,High
City_1,1522,6,Tue,Medium
City_1,690,4,Wed,High
City_1,203,20,Sat,Medium
City_1,1586,4,Fri,Low
City_1,727,20,Thu,Medium
City_1,1382,7,Sun,Low
City_1,442,2,Mon,Low
City_1,1977,7,Wed,Medium
City_1,585,17,Thu,High
City_1,547,22,Tue,Medium
City_1,223,3,Mon,Medium
City_1,1234,1,Sun,Medium
City_1,899,22,Mon,Low
City_1,1362,14,Fri,Medium
City_1,1152,4,Sun,High
City_1,482,11,Fri,Medium
City_1,1774,13,Mon,Low
City_1,1030,12,Mon,High
City_1,717,7,Thu,Medium
City_1,1450,6,Wed,Medium
City_1,611,16,Tue,Medium
City_1,1009,4,Tue,Low
