client_id,Source_IP_Encoded,Bytes_Sent,Protocol_Type,Session_Length_sec,Intrusion
Network_1,575318,82294,UDP,81,0
Network_1,930849,6068,UDP,264,0
Network_1,668301,19999,TCP,284,0
Network_1,439347,87226,UDP,184,0
Network_1,248688,5467,ICMP,82,0
Network_1,487994,78218,UDP,303,0
Network_1,116478,65586,TCP,151,0
Network_1,459102,10941,ICMP,250,0
Network_1,175073,21528,TCP,166,0
Network_1,252913,13078,ICMP,108,0
Network_1,293716,35101,ICMP,265,0
Network_1,447698,92110,TCP,82,0
Network_1,641964,30378,UDP,180,0
Network_1,823541,73873,TCP,550,0
Network_1,542976,97186,UDP,59,0
Network_1,137087,7453,TCP,59,0
Network_1,456757,39239,TCP,384,1
Network_1,892470,3275,UDP,231,0
Network_1,513741,41681,ICMP,83,0
Network_1,415401,43596,TCP,326,0
Network_1,739971,76099,ICMP,379,1
Network_1,804913,64327,UDP,176,0
Network_1,374788,31597,UDP,75,0
Network_1,524846,71910,ICMP,582,0
Network_1,216676,56829,TCP,568,0
Network_1,976787,23255,TCP,444,1
Network_1,652644,77760,TCP,382,0
Network_1,534697,63541,UDP,158,0
Network_1,133314,44013,TCP,167,0
Network_1,155362,56505,ICMP,587,0
Network_1,586034,3309,ICMP,188,1
Network_1,536173,25421,TCP,307,0
Network_1,442921,60226,ICMP,540,0
Network_1,535532,87679,ICMP,285,0
Network_1,192965,74413,UDP,35,0
Network_1,564093,59489,TCP,514,1
Network_1,254722,61949,TCP,209,0
Network_1,855642,14929,TCP,163,0
Network_1,589713,44189,UDP,383,0
Network_1,946439,86656,ICMP,488,0
Network_1,467008,53029,UDP,137,1
Network_1,276745,95629,UDP,116,0
Network_1,381760,44127,ICMP,134,0
Network_1,394158,53972,TCP,463,0
Network_1,472756,64435,TCP,329,0
Network_1,912971,13042,UDP,303,0
Network_1,537435,1123,UDP,436,0
Network_1,901155,38043,ICMP,38,0
Network_1,475529,89654,TCP,400,0
Network_1,600369,52737,UDP,598,0
Network_1,121673,42138,UDP,306,0
Network_1,394205,15189,ICMP,211,0
Network_1,983485,52393,ICMP,192,0
Network_1,152104,54715,UDP,561,0
Network_1,773615,17510,ICMP,107,0
Network_1,928013,94097,TCP,500,0
Network_1,402815,20617,ICMP,369,0
Network_1,702253,24519,ICMP,531,0
Network_1,549685,90361,ICMP,333,0
Network_1,673822,54662,ICMP,266,0
Network_1,277808,10729,ICMP,405,0
Network_1,668742,69050,ICMP,79,0
Network_1,430784,19821,UDP,335,0
Network_1,313942,51087,UDP,515,0
Network_1,517537,60041,TCP,256,1
Network_1,324318,85784,TCP,454,0
Network_1,164801,80618,UDP,292,0
Network_1,237983,43043,TCP,518,0
Network_1,842386,92733,UDP,263,0
Network_1,830772,61332,TCP,208,0
Network_1,510012,51270,TCP,419,0
Network_1,140353,47021,ICMP,502,0
Network_1,767727,88752,UDP,594,0
Network_1,449916,14447,UDP,513,0
Network_1,644688,30292,TCP,355,0
Network_1,760883,9938,TCP,462,0
Network_1,525975,62428,TCP,380,1
Network_1,919640,22496,UDP,245,0
Network_1,549375,15065,TCP,186,0
Network_1,247420,36811,ICMP,545,1
Network_1,723736,21048,TCP,410,0
Network_1,575668,96340,UDP,554,0
Network_1,659861,90006,UDP,428,0
Network_1,256627,4630,ICMP,470,1
Network_1,750723,44337,UDP,376,0
Network_1,983554,79330,ICMP,376,0
Network_1,413696,95061,TCP,404,0
Network_1,635284,18398,UDP,583,0
Network_1,622250,13797,TCP,317,0
Network_1,860080,55849,TCP,247,0
Network_1,359230,37044,ICMP,276,0
Network_1,345619,90805,TCP,311,0
Network_1,128594,15480,UDP,396,0
Network_1,296198,39379,UDP,289,0
Network_1,937349,66026,TCP,119,0
Network_1,768370,50791,UDP,349,0
Network_1,212747,43436,TCP,573,0
Network_1,372194,75710,UDP,498,0
Network_1,809367,93804,TCP,161,0
Network_1,149726,16259,TCP,385,0
Network_1,687987,47672,TCP,296,0
Network_1,253361,51767,ICMP,270,0
Network_1,740061,58004,UDP,286,1
Network_1,371184,73935,UDP,249,0
Network_1,965286,5940,UDP,553,0
Network_1,779167,81425,TCP,262,0
Network_1,333830,26375,TCP,124,0
Network_1,501685,83443,UDP,176,0
Network_1,937564,99073,UDP,256,0
Network_1,453642,71262,UDP,409,0
Network_1,683240,89615,TCP,65,0
Network_1,541642,30235,ICMP,128,0
Network_1,700098,11226,TCP,82,0
Network_1,626665,25271,UDP,509,1
Network_1,998440,22302,ICMP,141,0
Network_1,707420,12337,ICMP,81,1
Network_1,224542,25293,TCP,338,0
Network_1,581458,59900,UDP,108,0
Network_1,499886,60344,UDP,195,0
Network_1,125608,45304,ICMP,113,0
Network_1,896718,79136,TCP,322,0
Network_1,668764,45648,ICMP,252,0
Network_1,581858,78461,UDP,65,1
Network_1,871754,20483,ICMP,537,1
Network_1,931145,70248,ICMP,486,0
Network_1,723375,11751,TCP,493,0
Network_1,687227,95121,UDP,122,0
Network_1,333900,18688,ICMP,112,0
Network_1,428649,84053,ICMP,168,0
Network_1,684437,92872,ICMP,46,0
Network_1,649621,65231,UDP,98,0
Network_1,233278,57782,ICMP,120,0
Network_1,693501,25757,ICMP,478,0
Network_1,227587,27545,ICMP,315,0
Network_1,205264,53441,ICMP,130,0
Network_1,791393,68004,UDP,16,0
Network_1,441619,34492,TCP,164,0
Network_1,318012,27608,ICMP,414,0
Network_1,977103,45646,UDP,446,0
Network_1,219733,65607,UDP,139,0
Network_1,157673,89720,ICMP,326,0
Network_1,785076,72066,ICMP,479,0
Network_1,233655,43732,UDP,558,0
Network_1,660269,69923,UDP,199,0
Network_1,578243,84933,UDP,591,0
Network_1,507648,60395,ICMP,150,0
Network_1,670256,19250,UDP,488,0
Network_1,749474,78442,ICMP,142,0
Network_1,591744,30065,TCP,257,0
Network_1,869378,99325,ICMP,139,0
Network_1,308482,18485,ICMP,571,0
Network_1,551775,1442,UDP,158,0
Network_1,354341,70776,UDP,524,0
Network_1,413339,71308,UDP,567,0
Network_1,540365,13473,ICMP,21,0
Network_1,467588,13976,TCP,373,1
Network_1,287114,74559,TCP,486,0
Network_1,946884,21829,TCP,28,0
Network_1,752866,97509,ICMP,244,0
Network_1,986834,51808,UDP,335,0
Network_1,196236,35395,ICMP,338,0
Network_1,345400,55252,TCP,595,0
Network_1,849943,67510,UDP,321,0
Network_1,935999,95831,ICMP,592,0
Network_1,636934,73329,TCP,553,0
Network_1,597573,31659,ICMP,341,0
Network_1,413689,86500,ICMP,105,0
Network_1,822842,4012,ICMP,480,1
Network_1,475265,19959,TCP,184,0
Network_1,313519,11345,ICMP,156,0
Network_1,777391,87580,TCP,258,0
Network_1,326369,47443,TCP,243,0
Network_1,506234,16240,ICMP,21,0
Network_1,640984,16448,ICMP,448,0
Network_1,898624,23862,TCP,599,0
Network_1,560780,27168,ICMP,72,0
Network_1,973742,8074,ICMP,117,0
Network_1,787074,69150,ICMP,144,0
Network_1,192955,27962,UDP,107,0
Network_1,784806,2841,TCP,107,0
Network_1,740226,27717,TCP,241,0
Network_1,880329,38813,TCP,488,0
Network_1,531498,48312,UDP,548,0
Network_1,794369,89357,TCP,127,0
Network_1,783821,63342,ICMP,81,0
Network_1,455904,56378,ICMP,595,0
Network_1,946402,88149,TCP,433,0
Network_1,945101,37059,ICMP,575,0
Network_1,379903,95538,ICMP,332,0
Network_1,900751,86224,ICMP,369,0
Network_1,123909,21281,ICMP,451,0
Network_1,365894,52786,TCP,276,1
Network_1,248342,92170,UDP,387,0
Network_1,385129,6027,ICMP,386,0
Network_1,398210,77626,ICMP,277,0
Network_1,327030,54928,TCP,503,0
Network_1,473350,46749,TCP,376,0
Network_1,202547,89246,TCP,552,0
Network_1,750246,20118,UDP,434,0
Network_1,984847,36302,ICMP,73,0
Network_1,205664,26372,UDP,94,1
Network_1,231739,33782,TCP,194,0
Network_1,848495,34079,TCP,588,0
Network_1,806032,6249,ICMP,80,0
Network_1,151290,62285,UDP,351,0
Network_1,451272,89290,TCP,534,0
Network_1,469425,7234,TCP,304,0
Network_1,210702,53085,UDP,531,0
Network_1,541557,86568,UDP,190,0
Network_1,958871,51194,ICMP,68,0
Network_1,846603,6828,ICMP,590,0
Network_1,984604,80473,UDP,139,0
Network_1,237183,11419,TCP,58,0
Network_1,651905,71399,ICMP,294,0
Network_1,257735,38599,ICMP,352,0
Network_1,496715,25057,ICMP,449,0
Network_1,444977,21323,UDP,3,0
Network_1,816030,27168,TCP,222,0
Network_1,956338,64888,UDP,329,0
Network_1,492939,27405,TCP,133,0
Network_1,507319,521,UDP,150,0
Network_1,418109,12644,ICMP,167,0
Network_1,453985,90497,TCP,300,0
Network_1,810378,81109,UDP,5,0
Network_1,881878,67524,UDP,339,0
Network_1,968464,7426,ICMP,476,0
Network_1,705651,79927,TCP,546,0
Network_1,315906,16086,ICMP,573,1
Network_1,830229,37671,ICMP,424,0
Network_1,654079,82474,UDP,278,0
Network_1,243175,69503,ICMP,38,0
Network_1,673622,34504,UDP,140,1
Network_1,945320,96194,ICMP,73,0
Network_1,682259,37291,UDP,292,0
Network_1,963519,35528,ICMP,49,0
Network_1,598454,40724,TCP,179,0
Network_1,972783,58038,TCP,557,0
Network_1,797551,35227,ICMP,130,0
Network_1,982672,72965,ICMP,448,0
Network_1,452054,56118,TCP,156,0
Network_1,253448,4095,UDP,121,0
Network_1,965155,83006,UDP,31,0
Network_1,459106,72780,UDP,129,0
Network_1,184403,47186,ICMP,317,0
Network_1,361002,66144,UDP,475,1
Network_1,196647,48276,TCP,286,0
Network_1,552184,49273,TCP,307,0
Network_1,188232,18252,ICMP,146,0
Network_1,863527,54285,UDP,341,0
Network_1,824521,22084,TCP,191,0
Network_1,316675,82908,ICMP,294,0
Network_1,669264,73186,TCP,566,0
Network_1,717767,90996,UDP,64,0
Network_1,575115,20140,TCP,345,0
Network_1,156615,12132,ICMP,90,0
Network_1,882423,35339,ICMP,58,0
Network_1,136303,39633,ICMP,353,0
Network_1,786301,48091,ICMP,167,0
Network_1,800516,37888,ICMP,262,0
Network_1,236712,59972,UDP,126,0
Network_1,402218,47530,UDP,139,0
Network_1,219362,15477,UDP,194,0
Network_1,980126,29464,UDP,36,1
Network_1,919009,24072,ICMP,245,0
Network_1,607563,64041,TCP,293,0
Network_1,669533,51433,ICMP,192,0
Network_1,966627,22158,UDP,226,0
Network_1,179975,21445,UDP,442,0
Network_1,840986,5655,UDP,242,0
Network_1,252802,79750,UDP,255,0
Network_1,549162,44840,TCP,84,1
Network_1,648409,70510,TCP,330,0
Network_1,329196,74608,TCP,508,0
Network_1,846651,56325,ICMP,159,0
Network_1,812184,54266,TCP,21,0
Network_1,145297,95638,UDP,343,0
Network_1,100037,86851,TCP,113,0
Network_1,521208,56890,ICMP,581,0
Network_1,257062,18637,UDP,473,0
Network_1,269348,75993,TCP,470,0
Network_1,197173,44716,ICMP,203,1
Network_1,573017,94876,UDP,79,0
Network_1,946511,25462,TCP,542,0
Network_1,299115,19084,TCP,487,0
Network_1,934533,98614,UDP,191,0
Network_1,487412,57519,TCP,17,1
Network_1,449853,4249,ICMP,411,0
Network_1,543801,78996,UDP,340,0
Network_1,632956,94177,ICMP,209,0
Network_1,916981,47890,ICMP,577,0
Network_1,928680,99072,TCP,90,1
Network_1,179147,96144,TCP,579,0
Network_1,304804,92776,UDP,431,0
Network_1,111742,4042,UDP,84,0
Network_1,870500,98226,ICMP,323,0
Network_1,869547,22542,TCP,105,0
Network_1,675990,74733,TCP,156,0
Network_1,465484,24021,UDP,463,0
Network_1,762640,18780,ICMP,446,0
Network_1,327073,34078,ICMP,379,0
Network_1,748456,71343,UDP,357,1
Network_1,863072,5729,ICMP,499,0
Network_1,248544,99120,ICMP,95,0
Network_1,596835,10265,UDP,39,0
Network_1,394563,30927,ICMP,510,0
Network_1,563010,32563,ICMP,69,0
Network_1,330918,33237,ICMP,455,0
Network_1,736564,91068,ICMP,505,0
Network_1,155805,98069,TCP,38,0
Network_1,895984,80830,ICMP,56,0
Network_1,145105,77664,TCP,362,0
Network_1,401103,6265,UDP,382,0
Network_1,321868,86403,TCP,187,0
Network_1,693252,27486,ICMP,163,0
Network_1,725980,65879,ICMP,276,0
Network_1,672887,72970,UDP,477,0
Network_1,337549,83995,TCP,541,0
Network_1,729392,49981,TCP,122,0
Network_1,458260,22724,UDP,476,0
Network_1,643587,13997,TCP,91,0
Network_1,450253,51724,UDP,349,0
Network_1,700831,1372,ICMP,330,1
Network_1,538517,87337,TCP,352,0
Network_1,434846,9385,ICMP,34,0
Network_1,390676,71645,ICMP,245,0
Network_1,327650,9639,TCP,278,0
Network_1,952365,47874,UDP,398,0
Network_1,837173,22612,ICMP,381,0
Network_1,198643,82426,TCP,288,0
Network_1,600428,51505,UDP,186,0
Network_1,620176,48083,UDP,257,0
Network_1,857314,69255,UDP,574,0
Network_1,203860,23988,UDP,429,0
Network_1,344369,67107,UDP,278,0
Network_1,266086,44015,TCP,124,0
Network_1,495204,63097,ICMP,545,0
Network_1,550642,46248,UDP,186,0
Network_1,535960,71664,TCP,19,0
Network_1,306263,22131,TCP,453,0
Network_1,185854,68737,TCP,34,0
Network_1,417755,73523,UDP,435,0
Network_1,935988,37979,TCP,454,0
Network_1,171559,81783,ICMP,222,0
Network_1,277431,44284,TCP,255,0
Network_1,184868,74163,UDP,334,0
Network_1,473701,31278,UDP,51,0
Network_1,747218,98515,UDP,580,1
Network_1,179027,77013,TCP,328,0
Network_1,609919,23328,ICMP,518,0
Network_1,497505,53052,UDP,226,1
Network_1,702057,28210,ICMP,497,0
Network_1,322666,87872,ICMP,245,0
Network_1,838084,90463,TCP,266,0
Network_1,484830,14592,TCP,300,0
Network_1,670483,15416,UDP,91,0
Network_1,409155,4687,ICMP,387,0
Network_1,660668,24223,TCP,372,0
Network_1,846537,13960,TCP,478,0
Network_1,793776,72720,UDP,128,0
Network_1,449763,41453,TCP,39,0
Network_1,619286,16784,TCP,136,0
Network_1,601928,49209,TCP,360,0
Network_1,214755,12506,UDP,481,0
Network_1,747428,60157,ICMP,56,0
Network_1,458868,20823,UDP,243,0
Network_1,437064,44082,TCP,578,0
Network_1,155749,66223,TCP,296,0
Network_1,685085,26442,UDP,223,0
Network_1,975967,62677,ICMP,337,0
Network_1,675362,4827,ICMP,190,0
Network_1,966239,48629,ICMP,11,0
Network_1,481225,26296,ICMP,333,0
Network_1,268891,76391,ICMP,256,0
Network_1,319323,27162,ICMP,480,1
Network_1,401784,50805,UDP,63,0
Network_1,703547,22449,TCP,236,0
Network_1,931035,18680,ICMP,402,0
Network_1,797710,81296,UDP,60,1
Network_1,834065,20112,UDP,374,0
Network_1,554598,81262,TCP,2,1
Network_1,710121,78962,TCP,507,0
Network_1,226384,31331,UDP,500,0
Network_1,765475,22022,TCP,20,0
Network_1,415952,23181,ICMP,478,0
Network_1,530760,61113,ICMP,528,0
Network_1,876749,45143,ICMP,354,0
Network_1,414235,14234,UDP,9,0
Network_1,918314,34275,UDP,321,0
Network_1,718810,35427,TCP,374,0
Network_1,714767,70509,TCP,596,0
Network_1,852110,37244,UDP,247,0
Network_1,161741,98589,UDP,33,0
Network_1,179725,56219,UDP,295,0
Network_1,127605,99677,ICMP,25,0
Network_1,629841,76334,TCP,542,0
Network_1,108500,25229,ICMP,552,0
Network_1,151968,81977,TCP,33,0
Network_1,640007,10361,TCP,436,0
Network_1,206437,505,TCP,231,0
Network_1,551176,9577,ICMP,161,0
Network_1,116551,85122,ICMP,344,0
Network_1,961713,37937,TCP,591,0
Network_1,329320,62404,UDP,7,0
Network_1,868801,46774,ICMP,130,0
Network_1,798873,99232,ICMP,244,0
Network_1,130504,1400,TCP,255,0
Network_1,133516,55796,TCP,194,0
Network_1,343556,31341,TCP,61,0
Network_1,738635,48449,UDP,138,0
Network_1,733316,31214,UDP,587,1
Network_1,900082,59331,ICMP,376,0
Network_1,460693,9969,UDP,281,0
Network_1,822452,51209,ICMP,191,0
Network_1,471562,91404,ICMP,332,0
Network_1,201270,14584,TCP,551,0
Network_1,887792,75281,UDP,563,0
Network_1,388793,76659,TCP,462,1
Network_1,954752,65876,UDP,475,0
Network_1,751473,17068,UDP,383,0
Network_1,309294,55430,UDP,314,0
Network_1,342833,85513,TCP,300,0
Network_1,680325,40810,TCP,19,0
Network_1,288952,24258,TCP,75,0
Network_1,988135,77580,ICMP,75,0
Network_1,304537,66644,TCP,241,0
Network_1,724194,64474,TCP,394,0
Network_1,158758,84496,TCP,423,0
Network_1,394087,69552,UDP,230,0
Network_1,941011,16748,ICMP,360,0
Network_1,738755,28330,ICMP,109,0
Network_1,783188,61455,TCP,437,0
Network_1,120701,51518,TCP,202,0
Network_1,475772,62069,TCP,416,0
Network_1,909530,29046,TCP,49,0
Network_1,935105,5867,UDP,290,1
Network_1,585811,81199,ICMP,96,1
Network_1,676411,29005,TCP,557,0
Network_1,998014,63535,ICMP,440,0
Network_1,614179,77701,TCP,376,0
Network_1,216409,50338,ICMP,371,0
Network_1,114877,79005,ICMP,206,0
Network_1,242208,85919,ICMP,421,0
Network_1,599799,97968,UDP,13,0
Network_1,654661,22160,TCP,320,0
Network_1,966926,21752,TCP,433,0
Network_1,153405,72235,TCP,473,0
Network_1,752994,93456,TCP,266,0
Network_1,924390,41550,UDP,76,0
Network_1,631652,32427,TCP,448,0
Network_1,495585,19352,UDP,306,0
Network_1,262506,94493,TCP,261,0
Network_1,651570,72328,TCP,418,0
Network_1,949358,88515,ICMP,561,0
Network_1,584810,42135,UDP,519,0
Network_1,140807,84555,UDP,158,0
Network_1,468583,65343,UDP,163,0
Network_1,436772,40736,ICMP,144,0
Network_1,529917,57007,UDP,20,0
Network_1,734458,64950,UDP,220,1
Network_1,583500,52673,TCP,468,0
Network_1,957291,44387,ICMP,201,0
Network_1,865118,99212,UDP,304,0
Network_1,222587,63948,UDP,536,0
Network_1,185675,47531,ICMP,546,0
Network_1,450384,48259,ICMP,141,0
Network_1,135886,1583,TCP,564,0
Network_1,283390,59499,ICMP,40,0
Network_1,773738,14640,UDP,211,0
Network_1,929756,58950,UDP,539,0
Network_1,908572,39709,TCP,584,0
Network_1,945258,67985,UDP,62,0
Network_1,585189,33878,ICMP,124,0
Network_1,230566,27406,UDP,157,1
Network_1,777518,36733,UDP,266,0
Network_1,531395,28467,TCP,399,0
Network_1,626184,20038,UDP,428,0
Network_1,514076,64550,ICMP,186,0
Network_1,791461,84646,UDP,268,0
Network_1,391820,11740,UDP,68,0
Network_1,198065,85522,ICMP,521,0
Network_1,296649,65198,TCP,301,1
Network_1,973118,86156,TCP,67,0
Network_1,415305,87379,TCP,59,1
Network_1,968641,65335,UDP,466,0
Network_1,484159,82873,ICMP,3,0
Network_1,105479,3886,UDP,22,0
Network_1,523037,65791,TCP,268,0
Network_1,667863,50390,UDP,545,0
Network_1,323536,15169,UDP,400,0
Network_1,821770,81329,UDP,335,0
Network_1,557455,83049,ICMP,81,0
Network_1,455226,20962,TCP,355,0
Network_1,717699,44471,ICMP,297,0
Network_1,359080,95555,TCP,143,0
Network_1,487265,76797,TCP,139,1
Network_1,338357,90534,UDP,228,1
Network_1,162943,33178,TCP,321,0
Network_1,323599,85065,TCP,326,0
Network_1,671185,37673,ICMP,361,0
Network_1,521166,38060,UDP,279,0
Network_1,224530,70452,TCP,304,0
Network_1,480862,58784,UDP,80,0
Network_1,173830,81381,TCP,403,0
Network_1,342433,21798,UDP,162,0
Network_1,791677,33830,ICMP,251,0
Network_1,261653,15510,ICMP,388,0
Network_1,480932,84702,TCP,375,0
