client_id,Time_Studied_hr,Quiz_Score,Pages_Viewed,Interaction_Level,Passed
School_A,3.500443334172513,88,91,7,1
School_A,3.45088862079796,9,89,9,1
School_A,2.9715082271207396,83,74,2,1
School_A,5.121854058119705,91,55,1,0
School_A,3.812491810631381,59,81,3,0
School_A,1.821998155499576,16,49,3,1
School_A,3.0700501969085043,81,34,7,1
School_A,2.2724515566374293,34,10,8,1
School_A,3.6049402262655788,89,73,9,1
School_A,4.434818292107362,44,77,6,1
School_A,1.6699155180453495,98,11,3,1
School_A,4.797029227862619,13,49,5,1
School_A,4.37765149456504,83,18,1,1
School_A,4.602214536082055,11,26,5,0
School_A,1.826329717351128,91,30,6,0
School_A,3.1432234568192765,66,70,8,1
School_A,0.3888561224855982,44,68,3,1
School_A,5.3157432457820795,76,60,4,1
School_A,2.0025241502968987,23,28,7,1
School_A,1.7248462204207349,55,85,9,0
School_A,4.060579698646912,90,55,9,1
School_A,2.650242592556109,24,58,6,1
School_A,3.3886565021077897,18,62,8,1
School_A,-1.1068239515347962,24,72,3,1
School_A,3.419357990509959,24,21,3,1
School_A,-1.7953541766113208,51,54,3,1
School_A,3.8465784679281976,0,40,2,1
School_A,1.555730737877021,38,11,5,1
School_A,4.676371113827717,91,58,6,1
School_A,5.712428993333933,33,28,2,1
School_A,2.918216913689861,74,45,4,0
School_A,-0.19866914573030758,79,16,8,0
School_A,2.880456256904489,99,62,4,1
School_A,2.248171152153393,71,64,4,1
School_A,2.528754755011692,93,36,4,1
School_A,3.286767599543969,40,1,1,1
School_A,3.1690152868389974,64,18,3,0
School_A,4.121042020475423,6,64,2,1
School_A,2.8301802506844944,84,73,4,1
School_A,4.217340375393634,78,78,2,0
School_A,5.3105097438791145,41,41,5,1
School_A,4.035234557788835,88,1,8,1
School_A,5.246079445721117,14,75,1,1
School_A,4.253899851422865,48,68,6,0
School_A,2.6192201131376436,52,42,8,1
School_A,1.9812683412040193,23,51,7,1
School_A,4.9021889304634865,11,13,1,0
School_A,1.575692239509267,26,53,1,1
School_A,3.489557701871256,61,58,7,1
School_A,0.5011445150475486,7,35,8,1
School_A,4.730022782211996,86,33,5,1
School_A,4.090300478787495,10,84,2,1
School_A,1.3495471583720597,65,37,2,0
School_A,0.041217403089002236,18,67,8,1
School_A,0.05645327691984381,34,27,3,0
School_A,4.776128907478146,92,52,1,1
School_A,3.9957865796729717,76,68,2,1
School_A,2.1133599501961986,69,2,9,0
School_A,4.353859590367476,42,64,1,1
School_A,2.2149014559463343,64,13,8,1
School_A,1.2729215648008143,91,46,5,1
School_A,1.7952977258064247,74,91,9,1
School_A,4.326329437688133,53,66,4,0
School_A,3.1949511178976695,3,17,9,1
School_A,4.419573078392032,47,91,1,1
School_A,2.5106810587602792,24,93,8,1
School_A,2.392272187795578,73,26,2,1
School_A,3.5403974964405056,55,66,9,0
School_A,3.5960292935621867,92,41,1,1
School_A,2.9855674755268296,22,64,6,1
School_A,0.7816514049697938,36,90,5,0
School_A,6.888489062996076,54,36,6,1
School_A,5.709051312855189,26,81,3,1
School_A,2.45419029334881,11,23,2,1
School_A,4.005971107117587,26,59,9,1
School_A,1.899282380200526,50,97,8,1
School_A,4.814198430405444,76,53,8,1
School_A,3.535354798741243,18,74,5,0
School_A,2.5880098035652437,34,2,7,0
School_A,4.78138421074636,75,52,1,1
School_A,1.4455390233931231,35,39,2,1
School_A,2.0663593014782125,98,96,3,1
School_A,0.9986427783972855,55,48,6,1
School_A,1.6971683424842676,26,14,4,1
School_A,3.289776828672382,80,28,9,1
School_A,4.516730876651122,45,60,3,1
School_A,2.411253550235831,43,62,5,1
School_A,1.8750953961261194,10,60,5,1
School_A,0.585070903826677,74,21,1,1
School_A,3.320347938343203,35,14,5,1
School_A,3.778910246249818,37,79,5,1
School_A,4.020190762592826,17,93,7,1
School_A,2.853642968899046,87,30,5,1
School_A,2.4962942798931858,8,55,1,0
School_A,1.4662692253375056,53,61,2,0
School_A,2.9354706214894972,84,61,4,1
School_A,-0.6809283173225724,17,70,1,0
School_A,2.114338544601584,63,34,3,1
School_A,3.819730403507874,42,8,8,1
School_A,4.899908065917159,75,85,6,1
School_A,5.113225599583938,53,14,1,1
School_A,2.313838633835326,44,72,7,1
School_A,1.9609448995972574,29,5,8,0
School_A,3.7631961378948624,71,7,7,1
School_A,4.956667912660477,27,99,6,1
School_A,1.1363338852891194,63,91,5,1
School_A,3.645770219293227,96,82,6,1
School_A,1.112561069213834,31,54,6,0
School_A,4.716340935440966,4,19,1,1
School_A,0.5055483598760424,13,10,1,1
School_A,2.808794889213162,45,95,4,1
School_A,1.5091275893394025,13,58,9,1
School_A,2.4212936293382494,79,52,3,0
School_A,1.9531625350407875,31,86,1,1
School_A,2.273225386361855,76,68,5,1
School_A,0.7956446867632585,30,16,7,0
School_A,4.4944603947223705,10,73,2,1
School_A,2.436875466082393,44,72,1,1
School_A,1.2773838127448003,96,6,2,0
School_A,3.060774123819723,48,20,5,1
School_A,5.154975300423141,17,81,2,0
School_A,2.8989024373872594,58,6,4,1
School_A,1.5962104291773662,76,46,9,0
School_A,5.02860650235583,85,97,1,1
School_A,3.5579675435314595,5,58,1,1
School_A,5.445877340125387,28,96,2,1
School_A,3.87282009500944,54,32,5,1
School_A,3.977771098377523,56,22,2,1
School_A,4.407996730373478,58,36,8,1
School_A,1.9407415494771871,32,68,2,1
School_A,5.825275609492975,93,22,7,1
School_A,2.513221019490916,29,5,3,1
School_A,3.260905132114935,40,12,1,1
School_A,2.9014914374096827,87,92,4,1
School_A,3.4585776764774034,7,91,3,1
School_A,0.8533222081047409,20,37,5,1
School_A,1.1495299837957742,24,61,5,1
School_A,2.4752926781972544,65,13,9,1
School_A,3.537454179913852,24,42,4,0
School_A,3.942743544489274,27,24,3,1
School_A,2.2239188142677255,7,21,5,0
School_A,2.8828889137267786,37,43,3,1
School_A,1.5600939274385168,97,27,5,1
School_A,1.5882576846286742,12,45,9,0
School_A,1.8457788833320108,27,20,4,0
School_A,7.741053170154309,83,69,6,1
School_A,4.201515847699405,99,72,9,1
School_A,2.4438665243481656,7,64,5,0
School_A,4.260576930323305,26,5,5,1
School_A,0.8696709869539214,7,59,1,1
School_A,2.5642968555722097,42,41,2,1
School_A,5.414381180538365,83,7,5,0
School_A,3.472577432963722,81,88,6,1
School_A,3.8993777404658174,43,65,2,1
School_A,2.740103813843479,79,70,1,1
School_A,3.8416753437179896,34,24,6,1
School_A,3.7380406444172785,59,15,6,1
School_A,1.7011866265331954,54,4,8,0
School_A,2.430747865505964,39,27,4,1
School_A,2.8563498732608346,0,76,9,0
School_A,5.305629729651615,29,20,4,1
School_A,-1.0316610021617105,63,25,1,1
School_A,2.9929371122281694,5,32,1,1
School_A,2.1222364568533014,99,94,4,1
School_A,3.1424492847275967,38,91,9,0
School_A,3.127359061869913,41,18,6,1
School_A,2.246902782881228,51,67,5,1
School_A,3.7460434196591437,57,35,9,0
School_A,4.81739134148921,55,36,3,1
School_A,6.030754228780541,80,11,5,1
School_A,1.29028776000951,8,59,6,1
School_A,4.730076487914204,71,48,3,0
School_A,2.2122740208605522,82,13,1,1
School_A,1.6472331471970696,8,23,5,0
School_A,5.2427286393374555,10,82,3,1
School_A,4.241428341461317,93,43,5,1
School_A,3.8043223955378274,4,95,5,1
School_A,2.337159307507684,48,26,7,1
School_A,1.550353365133399,56,81,9,1
School_A,4.058314218384372,52,85,6,1
School_A,2.5142674602836155,98,25,2,0
School_A,2.389453316212889,36,2,4,1
School_A,5.851733964295567,35,65,3,1
School_A,2.6683030017169207,34,82,5,1
School_A,3.1920923295706576,90,88,2,1
School_A,4.331652535433756,26,20,3,1
School_A,0.9731992557388343,20,45,6,1
School_A,2.654410702886647,58,30,1,0
School_A,2.2714809386823243,32,84,7,1
School_A,3.5973479852457717,90,37,9,1
School_A,2.7220555246021796,70,29,2,1
School_A,2.3958754947533922,56,9,6,0
School_A,2.834143765606829,82,52,6,0
School_A,5.342691888977712,80,93,7,1
School_A,2.7638817357236745,13,31,3,1
School_A,-1.3726491045214724,46,94,2,1
School_A,4.105133936425846,47,39,6,1
School_A,5.23691529540973,51,74,7,1
School_A,4.834784230829394,60,18,6,1
School_A,2.9201625374376015,17,57,5,1
School_A,3.7649009994060965,20,43,2,1
School_A,2.0756373467100966,78,12,7,0
School_A,5.397264901918324,27,98,9,0
School_A,4.8397646170936675,72,34,8,1
School_A,1.6697022965521477,46,38,9,1
School_A,2.143576654021219,98,41,7,1
School_A,3.736274266197875,73,43,6,1
School_A,6.326939349792825,70,48,6,0
School_A,2.9122208963259975,31,16,6,1
School_A,5.703287412240821,5,12,9,1
School_A,5.6459733332568085,14,98,2,1
School_A,3.3606156202420006,0,97,3,1
School_A,3.560970835983288,64,63,1,1
School_A,3.246897074470346,9,66,8,1
School_A,0.6522351306342014,8,5,7,0
School_A,2.1288315916663256,90,12,8,1
School_A,4.561034459742399,52,35,7,1
School_A,2.841334569609641,78,17,2,1
School_A,1.7426726890404152,72,47,5,1
School_A,1.8850465625905635,49,65,2,1
School_A,2.2175122801780605,34,32,7,0
School_A,2.4768827542966068,42,28,8,1
School_A,3.6776861334872364,34,64,8,1
School_A,5.323341912408124,45,11,6,1
School_A,3.669756512988571,20,82,8,1
School_A,5.187916261080137,47,78,3,1
School_A,3.28392767719123,75,58,9,1
School_A,2.465366748289782,13,87,2,1
School_A,1.898736823828899,51,40,3,1
School_A,3.4466224567046924,79,62,7,0
School_A,2.779506312439811,20,53,6,1
School_A,-0.145167701049286,44,28,3,1
School_A,2.284856546830977,47,7,9,1
School_A,3.7902628232056323,12,52,9,1
School_A,1.9732172693553984,30,97,4,1
School_A,3.54243191493636,36,32,5,1
School_A,3.898471364582595,31,24,4,1
School_A,-0.42078629270002255,18,58,7,1
School_A,1.7303698199874655,17,63,4,1
School_A,4.838875251708641,90,16,7,0
School_A,2.24092466708491,61,43,9,1
School_A,4.9229160340358336,74,31,3,1
School_A,1.776485615018554,90,50,3,1
School_A,5.570009331411803,79,54,2,1
School_A,3.858616104647714,95,24,3,1
School_A,3.795276490877998,53,56,7,1
School_A,0.5909666797908666,52,1,2,0
School_A,4.114421454340703,33,61,6,1
School_A,4.621282874790064,52,20,6,1
School_A,3.2195709595943094,84,26,4,0
School_A,5.501439855550691,88,27,3,1
School_A,3.3455911702382948,24,10,4,1
School_A,-0.14593957307049843,77,58,3,0
School_A,3.8426930284084877,7,50,9,1
School_A,3.1852761935487455,95,46,1,1
School_A,-0.8157019509224996,48,21,6,1
School_A,4.483712099519696,38,74,3,0
School_A,4.861237217609491,56,88,3,1
School_A,2.2258627988899597,37,25,5,1
School_A,2.0863644934270615,55,7,3,0
School_A,3.070826902374836,41,71,5,1
School_A,0.1130275632316673,0,68,8,1
School_A,6.358081643850031,40,20,8,0
School_A,5.0708769135758684,97,64,2,0
School_A,1.6334062231435398,84,11,3,1
School_A,4.419066705546709,93,99,4,0
School_A,1.909323584355172,6,60,8,1
School_A,2.5078212768258386,24,56,9,0
School_A,2.315232416236898,33,44,7,1
School_A,2.909569586585702,24,28,5,1
School_A,4.103853707832571,71,77,5,0
School_A,4.4591374382276925,77,96,7,1
School_A,5.0214341281239765,49,21,2,1
School_A,1.7044817195597364,35,83,6,1
School_A,-0.2610995845396076,31,77,2,1
School_A,2.9406306145980508,77,96,5,1
School_A,3.5804641568259363,82,2,2,1
School_A,1.009952412388834,86,48,1,1
School_A,3.607931266923833,51,61,8,0
School_A,2.6650790217579994,22,19,1,1
School_A,1.4866257928265747,66,60,7,1
School_A,4.2609474088490895,0,22,3,1
School_A,3.9267715781208925,29,8,9,1
School_A,4.739376171089894,58,77,2,1
School_A,1.5021036934341194,37,95,1,1
School_A,1.7598345084513745,21,27,5,1
School_A,3.0646295853162386,9,28,8,0
School_A,3.3130055444079525,96,61,3,1
School_A,3.1184763741094885,32,19,4,1
School_A,1.7882988788951764,33,50,1,1
School_A,4.229670493391638,38,94,8,1
School_A,1.325608775902404,77,9,4,1
School_A,3.9379386617253407,16,37,2,0
School_A,1.7929664422132565,19,59,7,1
School_A,5.755742863747706,99,44,6,1
School_A,1.9541368777218022,75,52,2,0
School_A,4.920896335589165,99,56,1,0
School_A,0.9082466697565188,20,32,9,1
School_A,3.1662767790770143,33,24,8,1
School_A,3.8241206141802904,63,77,3,1
School_A,2.513408430612178,39,34,1,1
School_A,3.8993296854743766,0,19,1,1
School_A,0.30838110490532467,83,97,3,1
School_A,3.7554806763977493,43,2,7,1
School_A,4.036376013460737,86,4,4,0
School_A,4.850639941399269,30,59,7,1
School_A,-0.31496606780429026,70,16,9,1
School_A,3.6913917235417815,97,31,7,1
School_A,0.274929607911484,60,34,1,0
School_A,2.7450282758016304,19,41,3,1
School_A,3.21944771723228,71,71,5,1
School_A,2.705007634556045,44,40,4,1
School_A,3.760937068766165,38,44,9,0
School_A,3.9859275130411245,19,22,4,1
School_A,2.9399352790726234,99,41,7,1
School_A,2.08665526665396,65,11,4,0
School_A,-1.0099784367396074,99,78,5,1
School_A,3.436333412956182,61,94,3,0
School_A,2.7953909072099727,66,83,6,1
School_A,5.384152994069948,6,68,1,0
School_A,3.3206266561952935,37,87,1,0
School_A,1.8924364288847646,97,73,4,1
School_A,-0.7207195648660352,29,23,9,1
School_A,2.12258410503867,48,96,9,0
School_A,-0.3138294288053709,88,82,7,0
School_A,3.2824156919185716,67,90,7,1
School_A,3.090266074894001,41,73,8,1
School_A,3.272134497009506,40,4,3,0
School_A,3.5138310800681625,35,42,3,1
School_A,0.9231821747347819,17,89,5,1
School_A,3.917285217593525,26,92,5,1
School_A,2.3721053582056704,82,54,6,1
School_A,0.5211679054725566,68,40,5,0
School_A,4.058858916409179,42,64,7,0
School_A,2.8995809885502015,32,9,4,0
School_A,2.719482386222011,96,20,5,0
School_A,1.4675586166191512,43,78,3,1
School_A,4.29564957804664,95,12,2,0
School_A,5.314892204489513,86,59,4,1
School_A,2.2615720902940297,11,50,2,1
School_A,2.5893195094209154,66,77,6,1
School_A,3.9467986879716634,18,43,3,1
School_A,3.6491681161036125,40,54,1,0
School_A,2.9678090711172342,18,88,3,1
School_A,3.2850730985911127,38,8,6,1
School_A,4.210422745151958,80,69,9,1
School_A,4.776758075293486,17,21,1,1
School_A,4.676836543153393,92,84,1,1
School_A,-2.76288865062031,58,10,6,1
School_A,3.930663477887266,90,42,5,1
School_A,2.224620770464536,65,38,2,1
School_A,4.256802581209822,48,68,8,1
School_A,0.6139807337633023,23,36,1,1
School_A,2.838580671882747,20,27,7,0
School_A,2.0570332273852583,85,59,4,1
School_A,1.2856698487091842,51,6,9,0
School_A,4.111437534929253,84,79,1,0
School_A,1.4062906463486275,56,52,8,1
School_A,4.560678440093704,59,18,8,0
School_A,4.738566216187244,73,47,7,0
School_A,2.8367944077885126,39,90,3,1
School_A,1.6044917480353393,99,27,4,0
School_A,2.482445718938134,75,91,1,0
School_A,1.0974189834791286,16,66,3,0
School_A,3.324672764240161,21,19,5,1
School_A,2.6772586902074615,20,87,7,1
School_A,-0.5762597297135379,85,90,1,1
School_A,6.122314977642532,67,40,9,1
School_A,4.839571410596619,78,60,9,1
School_A,1.6454464367569432,31,86,7,0
School_A,4.492943964803151,96,84,3,1
School_A,0.5742359876170333,33,6,3,1
School_A,2.6777850178854554,90,88,8,1
School_A,3.021470731980324,85,30,4,1
School_A,6.421586135458823,26,80,1,1
School_A,3.041244549893309,92,85,8,0
School_A,3.037949202121921,87,60,9,1
School_A,1.1409952386025703,36,6,7,0
School_A,4.1163100868734634,9,22,5,0
School_A,3.2587048982830016,10,26,3,1
School_A,3.0549395807753044,6,18,9,1
School_A,0.5115677167892554,44,22,1,1
School_A,3.375046448267475,95,32,5,0
School_A,2.396531488223946,15,2,4,1
School_A,3.3900396856584916,80,39,9,1
School_A,1.5594190760628912,92,4,5,1
School_A,5.114606541852281,72,30,9,0
School_A,1.7953771079503058,55,76,4,1
School_A,2.918550354205655,45,49,3,1
School_A,3.863236543717754,99,75,2,1
School_A,2.2960763634375194,54,96,2,1
School_A,3.820296056554847,88,16,4,1
School_A,3.816975697263198,21,69,1,0
School_A,1.5727633958235319,86,91,7,0
School_A,2.4838760120716397,73,69,7,1
School_A,1.7315744127572565,0,57,2,1
School_A,4.757733051691907,6,49,8,1
School_A,2.71674913686916,98,31,4,1
School_A,4.990522195839483,77,85,7,1
School_A,3.5689439374539678,17,78,6,0
School_A,2.6972122182200584,31,61,3,1
School_A,1.4721440691793672,45,71,3,1
School_A,2.454608784010772,31,90,5,1
School_A,3.526991257605501,0,90,9,0
School_A,2.8024465546602775,98,28,6,1
School_A,4.797088249765535,92,16,4,1
School_A,2.6284918786383678,3,20,3,1
School_A,2.2849569695481007,44,57,9,1
School_A,3.9703798880332384,23,84,8,1
School_A,2.415328088936989,24,96,1,1
School_A,3.8279295247720437,1,83,9,0
School_A,0.3644685966668493,82,68,6,0
School_A,0.13783821485111192,88,30,2,1
School_A,2.298078272453622,20,23,2,1
School_A,1.915112490611574,23,87,3,1
School_A,6.105178017114668,27,42,4,1
School_A,2.9437124550086162,62,43,2,0
School_A,3.304439963026637,87,77,7,1
School_A,3.389449575723385,24,35,3,0
School_A,4.009808471754638,67,62,2,0
School_A,3.629580251144607,16,68,6,0
School_A,0.4844091711884153,53,76,2,1
School_A,4.284965211920742,53,48,3,0
School_A,3.2661273590432724,71,88,8,0
School_A,5.958352604359844,96,78,9,0
School_A,3.563189040727032,98,22,7,1
School_A,2.9886251306665823,53,64,6,1
School_A,2.960187170682358,38,83,8,0
School_A,2.2203430222954377,32,96,5,0
School_A,3.732286762775412,15,11,3,0
School_A,5.5256504632988594,95,83,6,1
School_A,4.110919483788356,48,77,4,0
School_A,2.3364763574229825,90,72,2,1
School_A,4.2822379946566205,48,41,3,1
School_A,3.2140546137929773,5,24,6,1
School_A,2.5765280632477374,61,67,6,1
School_A,3.987275761167757,82,48,8,0
School_A,3.514627561742828,4,79,1,1
School_A,3.060764621497201,23,80,5,1
School_A,0.7313341533777291,20,15,4,1
School_A,5.208702262496847,37,52,2,1
School_A,2.454030033259951,3,52,7,1
School_A,2.2424261095347844,65,55,5,1
School_A,3.2579737418436756,13,3,9,1
School_A,1.1862638993217611,40,29,8,0
School_A,1.1793226017315084,20,20,2,1
School_A,5.964987199751108,87,97,3,1
School_A,1.3764844352415375,45,41,3,1
School_A,7.9438566898913265,3,57,2,0
School_A,3.8297708907543804,86,21,5,1
School_A,3.230259457586872,80,15,3,0
School_A,5.6394413067663045,33,36,9,1
School_A,2.450722637681678,17,81,7,0
School_A,1.778772426722261,77,75,8,1
School_A,0.6194391793701337,49,72,7,1
School_A,3.2570489886175547,30,83,4,1
School_A,2.1382081968708473,14,2,6,0
School_A,3.9276312651027103,37,65,6,1
School_A,3.2087611329890833,28,50,2,1
School_A,3.4214268732869932,81,54,8,1
School_A,3.7426127682463024,28,12,3,1
School_A,3.0633471558858423,51,53,7,0
School_A,-0.5057828781810212,66,53,9,1
School_A,-0.8003145993164154,46,95,9,1
School_A,2.1364924434462846,13,29,7,1
School_A,3.6679551092221994,13,87,8,0
School_A,1.1187674009958206,67,16,9,0
School_A,5.527257994950018,89,96,3,0
School_A,3.4456271564865686,19,58,8,0
School_A,3.032197002900096,88,27,9,1
School_A,2.6767902807098536,97,22,9,1
School_A,5.888926770647034,47,8,2,1
School_A,2.1785741459595642,5,88,7,0
School_A,1.9198213853584998,84,24,6,1
School_A,5.01903910999377,19,34,3,1
School_A,3.1508073400308683,3,53,1,1
School_A,3.6686405658308785,96,92,7,1
School_A,3.2729568251665344,99,50,9,1
School_A,0.18512144016831789,31,83,6,1
School_A,5.388301011834758,20,56,4,1
School_A,0.062064974204377066,17,55,3,1
School_A,0.3560686795493284,92,61,7,1
School_A,-0.7087339645895403,59,81,8,1
School_A,4.334325744228994,25,40,7,1
School_A,2.0076878587067783,4,13,2,1
School_A,3.2595336704013143,49,84,4,0
School_A,4.952901964395234,51,33,7,1
School_A,3.5445278336628165,95,73,7,0
School_A,4.063794508640794,36,99,5,0
School_A,1.5895912189106722,85,65,7,1
School_A,5.447300591014624,80,31,2,1
School_A,2.566908468277826,32,53,9,0
School_A,3.6025650899926256,33,61,3,1
School_A,4.484260142992138,3,53,7,1
School_A,3.324933522278903,33,6,7,1
School_A,2.8596529563397555,17,27,7,1
School_A,3.5160639247619065,88,24,9,1
School_A,-1.2846515751178007,69,30,8,1
School_A,3.834783304151269,24,5,2,1
School_A,2.8598804787096537,62,54,6,0
School_A,3.280283696672792,69,36,8,1
School_A,4.445358155187642,85,10,8,1
School_A,5.699380525975485,13,96,6,0
School_A,0.5317981667443421,87,84,1,0
School_A,2.6336056353367563,99,84,6,0
School_A,2.7898213924464446,78,86,3,1
School_A,1.1070741014815348,81,12,3,1
School_A,4.518005355827616,24,92,7,1
School_A,3.49361904687916,64,54,7,0
School_A,1.7639817228049104,93,51,4,1
School_A,0.8411436608701974,51,85,6,1
School_A,3.4367857219671256,6,12,2,1
School_A,-0.6001495116512183,94,76,9,1
School_A,0.9812956724733213,52,19,3,1
School_A,3.8212555169799605,28,74,4,1
School_A,3.6506852380674735,39,50,3,0
School_A,4.073720989961044,21,62,1,0
School_A,4.643223822536043,6,53,4,0
School_A,1.2749481172537123,33,33,8,0
School_A,3.2801993612895477,3,48,9,0
School_A,2.482343474757172,5,74,5,1
School_A,5.0605814434262,27,66,1,1
School_A,3.8400879709862776,61,16,3,1
School_A,2.7172827650213205,39,35,3,1
School_A,4.574095459459931,65,37,5,1
School_A,1.5802412941759567,63,51,6,1
School_A,3.7536087651192647,23,92,6,1
School_A,0.19471565678255054,33,37,9,0
School_A,3.7355047991208323,42,22,6,1
School_A,2.0709585277949247,51,4,2,0
School_A,4.602926540048015,40,10,1,1
School_A,5.6130070332414395,27,58,8,1
School_A,3.5195999413753825,80,45,1,1
School_A,0.4288624902033056,3,15,5,1
School_A,-2.0633382647140737,77,35,4,1
School_A,6.46279987356068,91,12,6,1
School_A,0.8423514636533489,44,23,5,1
School_A,-0.40018946933440036,65,43,4,1
School_A,3.0235220908010754,58,68,5,1
School_A,1.011463256360716,5,14,1,1
School_A,3.4771433664993534,53,73,3,1
School_A,3.8639998229337067,91,95,4,1
School_A,3.0330554869717528,71,86,1,1
School_A,3.4285356482556137,83,36,7,1
School_A,1.7569953582602513,66,33,1,1
School_A,1.7328561775002098,15,73,1,1
School_A,-0.739782360566414,74,88,7,1
School_A,4.8932313354920325,54,16,9,1
School_A,3.2247104050194424,21,56,4,1
School_A,2.6238999289891054,26,64,3,1
School_A,3.176572038025506,77,30,5,1
School_A,4.430187186337537,47,9,8,1
School_A,5.143574079781925,66,21,9,1
School_A,4.1548815003556,47,22,9,0
School_A,3.691763448085563,34,19,9,1
School_A,-0.06147365490065493,42,60,3,1
School_A,2.7343401491930934,96,45,9,1
School_A,-0.5449173346913012,59,53,7,1
School_A,3.132277078737188,73,31,3,1
School_A,3.8701102945500208,78,38,1,1
School_A,5.820310713151605,79,33,2,1
School_A,2.160097600688638,77,47,2,1
School_A,1.127015349159248,97,61,1,0
School_A,4.0914035313868125,67,95,6,1
School_A,3.9841348902412834,37,60,4,1
School_A,0.5510729321473882,14,39,6,1
School_A,3.103908824965914,23,38,6,1
School_A,4.264557015081585,41,74,6,1
School_A,3.8428272291610126,41,51,4,1
School_A,3.8675842869900325,76,42,6,1
School_A,3.757282351851138,21,40,4,1
School_A,1.9914960358662321,40,7,5,0
School_A,1.9435401870022206,19,19,2,1
School_A,3.982369220452089,71,46,4,1
School_A,3.3259253752968063,49,53,6,0
School_A,4.788283867770643,75,8,7,1
School_A,2.6802338500274856,25,22,3,0
School_A,2.518550105108902,81,98,8,1
School_A,3.0472386892259262,31,21,5,1
School_A,3.559431503397987,65,49,7,1
School_A,3.5225807756915026,35,74,7,0
School_A,3.368080312809041,93,41,9,1
School_A,6.432510766761381,87,19,3,0
School_A,2.957585687850989,36,64,1,1
School_A,2.2133872619664148,55,47,5,1
School_A,4.08540750226049,49,85,8,1
School_A,1.4836371717854675,1,79,2,1
School_A,3.9939843649360594,45,50,3,0
School_A,2.0872885451918255,36,36,3,1
School_A,2.721172036251969,82,97,2,1
School_A,3.50318919578287,33,53,2,0
School_A,3.0625077809127346,63,57,2,1
School_A,1.4154345994131377,26,26,9,1
School_A,1.8855772060656957,64,95,8,1
School_A,3.2750280566311254,98,35,1,0
School_A,4.360042278687333,87,10,3,0
School_A,3.692335100110185,96,17,2,1
School_A,3.8378715664930487,6,90,1,1
School_A,1.2811867507219339,56,65,8,1
School_A,4.201220501748282,47,65,7,1
School_A,2.3436561821140303,80,14,9,1
School_A,3.813977223419255,1,32,8,1
School_A,6.509924413186199,86,9,8,1
School_A,1.82489399236082,21,13,9,1
School_A,4.7578745737909625,96,21,9,1
School_A,1.0672182099220133,85,61,8,0
School_A,1.8950482348747961,22,26,6,0
